STAID,SOUID,DATE,TG,Q_TG
10,30,17560101,-8.7,0
10,30,17560102,-9.2,0
10,30,17560103,-8.6,0
10,30,17560104,-7.7,0
10,30,17560105,-7.2,0
10,30,17560106,-1.6,0
10,30,17560107,0.7,0
10,30,17560108,1.3,0
10,30,17560109,2.4,0
10,30,17560110,0.8,0
10,30,17560111,0.6,0
10,30,17560112,4.3,0
10,30,17560113,-0.2,0
10,30,17560114,-0.7,0
10,30,17560115,-5.7,0
10,30,17560116,-6.2,0
10,30,17560117,-10.0,0
10,30,17560118,-11.5,0
10,30,17560119,-6.2,0
10,30,17560120,0.8,0
10,30,17560121,1.8,0
10,30,17560122,-4.7,0
10,30,17560123,-4.7,0
10,30,17560124,0.5,0
